Group,Name,Bio
Invitees,Harish Narasappa,"Harish is a designated senior advocate. He was the founding partner of the law firm, Samvad Partners, headquartered in Bengaluru. Harish appears regularly before various courts and tribunals in India on a variety of matters."
Invitees,Raja Karthikeya,"Raja Karthikeya is an international security researcher and a United Nations officer. Previously, he was a visiting Research Fellow at the University of Oxford."
Invitees,Ambassador Ranjan Mathai,"A distinguished Indian Foreign Service officer from the 1974 batch, he served as Foreign Secretary of India and later as India's High Commissioner to the UK. Over his career, he held key diplomatic positions, including Ambassador to France, Israel, and Qatar, and Deputy High Commissioner to the UK"
Invitees,Vasanthi Hariprakash,"Vasanthi is an award-winning journalist, sought-after speaker, radio and television personality and media entrepreneur. She is the founder of Pickle Jar Media, which helps brands, startups and non-profits tell their stories via podcasts and curated events."
Takshashila Alumni,Shilpi Das,
Takshashila Alumni,Anirudh Menon,
Invitees,Neena Gopal,"Neena Gopal began her career in journalism over 30 years ago in Bangalore, which was then a hotbed of post-emergency politics. She moved to the UAE in the 1980s, where she worked for the Dubai-based “Daily Gulf News” as a foreign editor."
Invitees,Colonel (Dr) John Prince,"He is an Army veteran excelling in team building and strategic management. Quality control specialist with 6 Sigma expertise at DGQA. GIS instructor and school executive, now leading IT Systems and Cyber Security at a premier training institute."
Invitees,Pratap Heblikar,"He is a national security expert with a 38-year GoI career, retiring as Special Secretary. The founder of CNSS, he leads ICSB. Academic advisor at premier universities. Heads Maxgrid Securicor, actively advancing strategic dialogue and inspiring India's youth on national security."
Invitees,V Ravichandar,"He is the Chairman of Feedback Consulting, a leading research and consulting firm in India that has been part of over US$ 6 bn investments in India. He is the Honorary Consul, Republic of Slovenia in Karnataka."
Invitees,Arya Singh,
Invitees,Sreeram Ananthasayanam,
Takshashila Alumni,Diviak Dev,
Invitees,Nakul Narayanan,
Invitees,Lt General Karanbir Singh Brar (Retd.),"Lt Gen Brar brings four decades of military expertise across terrains and UN missions. As DG Armoured Corps, he pioneered Light Tanks and Drones. He advises on AI and mentors technologies while pursuing his doctorate."
Takshashila Alumni,Aditi Jain,
Takshashila Alumni,Shouvik Banerjee,
Takshashila Alumni,Akhil Kanagaraj,
Takshashila Alumni,Deepanker Koul,
Takshashila Alumni,Pranjal Mhatre ,
Takshashila Alumni,Karthik Rao Bappanad,
Takshashila Alumni,Balasubramanian R,
Takshashila Alumni,Akhil Siddharth Pyda,
Takshashila Alumni,Tarun Sharma,
Invitees,Ashok Venkateshmurthy,Partner at Factum Law and Allied Law Practices 
Takshashila Alumni,Vaitheeswaran Balasubramanian,
Takshashila Alumni,Trishal Kumar,
Takshashila Alumni,Balasubramanian Rajagopal,
Takshashila Alumni,Kumar Saurabh,
Invitees,Naganand Doraswamy,"Naganand is the Managing Partner and Founder at Ideaspring Capital, actively shaping the firm's strategy and guiding its portfolio companies to success. He brings a wealth of experience as Co-Founder and EVP at SPAN Infotech India Pvt Ltd, and as Co-Founder of Lexar Networks."
