Name,Biography
Shashvat Kumar,An electronics and instrumentation engineer who happens to be an IPS officer with 10 years of field experience.
Deepti George,"Public policy professional in financial services. Founder of Yutadhi think tank supporting India's financial system. Previously deputy ED at Dvara Research. Shaped policy outcomes via RBI, SEBI, and Ministry of Finance. Expertise in regulatory design and consumer protection. IFMR MBA Finance; Carey Law School regulatory analysis certificate."
Anjali Gandhi,"Law Enforcement Fellow at Takshashila Institution auditing India's digitised police records. Policy and law research consultant with 5+ years experience. Former: Senior Associate at Swaniti Initiative, Legal Consultant at NCPCR. Focus: criminal justice reform, child rights, technology. M.A. Criminal Law (NALSAR); B.A. LL.B. (GGSIPU)."
Dr T V Rajesh,"Superintendent of Central Tax, CGST & Customs, Bengaluru. Former DySP, National Investigation Agency; CBI, DRI, Customs positions. Investigated terrorism, trafficking, smuggling, fraud. FBI and NIA trained. Recipient: President's Police Medal for Meritorious Service (2021), Home Minister's Medal (2023), NIA DG Silver Disk."
Dr. Vishali Sharma,"Working as Assistant Professor in NSIT-IFSCS in department of cybersecurity, has more than 8 years of teaching experience in academics and online teaching in different Edtech platform."
Chandan Pal Singh,"Distinguished educator and book editor with 19 years teaching in Computer Science and IT across Kazakhstan, India, Indonesia, China, and Singapore. Expert in educational technology, AI, and machine learning. Co-authored and edited books; published 50+ research papers. Certified GCED and Digital Citizenship trainer under UNESCO/APCEIU."
Moulina Bhattacharya,"Doctoral researcher, Department of English and Cultural Studies, Christ University. Field: nonfictional life-writing, memory studies, Postcolonial literature, and sociolinguistics. Published articles on heterotopic transcendence, Urban Feminism, Dystopic Narrative, and Indian police narrative in Scopus-indexed journals."
Avinash Pandey,"IRS officer with expertise in taxation, international trade, digital transformation, and strategic enforcement. Multidisciplinary background in engineering, liberal studies, and internet studies. Young India Fellow (Ashoka), Raisina Fellow, and NEXT Milan Future Leader. Published in WCO, The Print, Financial Express, and Indian Express."
Amit Kumar,"IPS officer, Uttar Pradesh cadre, with extensive field and administrative experience in policing, public order management, and institutional leadership. Strong academic research orientation in internal security and governance. LEPF Fellow seeking rigorous policy analysis to bridge field administration and evidence-based policy design in India."
Olivia Ruhil,"Lawyer and public policy scholar-practitioner focused on governance and public institutions. Current work explores AI use in Indian law firm workflows and implications for professional responsibility, legal quality, and human judgment. Interested in responsible technology adoption without weakening ethical standards or public trust."
S.N. Ravichandran,"Expertise in applied chemistry, industrial manufacturing, and cybercrime investigation. Master's Applied Chemistry (PSG). Partner, Nilgiris Chemical Stoneware. DSCI and DiSAI member assisting Coimbatore Police with cybercrime investigations. Faculty, Tamil Nadu Police training. Author of cybercrime and cyber law books. Speaker on cybersecurity and economic offences."
Bhawni Mishra,"Political science scholar and policy researcher specializing in governance, public policy, and human rights. UGC-NET qualified. Bachelor's and Master's degrees in Political Science, St. Xavier's College, Ranchi. Works with YuvaCracy Centre for Policy Research on legislative analysis and policy discussions."
Maruti Joshi,"I am an IPS officer working presently as SP civil Rights, PHQ, Jaipur."
Kaachia Patel Het Kumar,"Cyber & Digital Forensics enthusiast | MSc Forensic Science. Focused on cybercrime investigation, phishing fraud analysis, and digital evidence examination. Interested in cybersecurity research, AI in forensics, and emerging online fraud detection techniques."
Karrthik Madhira,"IPS Officer 2020 batch, Additional Superintendent of Police, Maharashtra. B.Tech Computer Science; Deloitte Business Research Analyst. Focus on law enforcement, cybersecurity, AI, and predictive policing. Data Analytics training (IIT Kanpur); Defense & Foreign Affairs certificate (Takshashila). Interests: geopolitics, political science, and sociology in policing context."
Dr. Hriday Sarma,"Advocate, Supreme Court and Gauhati High Court. Scholar of international political economy and energy policy. Ph.D. Energy Studies (JNU). 10+ years academia, policy research, geopolitical analysis focusing on West Asia and Eurasia. Visiting Research Fellow in Israel and Azerbaijan. Published in peer-reviewed journals."
"Lalit Maheshwari, IPS (Retd.)","IPS retired from Jaipur. Served 30 years in Rajasthan Police, Deputy SP to DIGP. Retired as DIGP Anti Corruption Bureau, Jaipur. President's Police Medal Meritorious Service (2013); PM Silver Cup winner (2017-19). Registrar NCLT Jaipur (till Sept 2024). Qualifications: MCOM, MA(GM), ACMA, LLB, Insolvency Professional."
