Name,Biography
Amardeep Singh,"Wg Cdr Amardeep is presently serving at Air HQ, New Delhi. Graduate in Computer Science and Master in Defence & Strategic Studies from SPPU Pune, PGD Strategic Studies from RRU."
Anand Yadav,Group Captain AK Yadav is a Navigator in IAF with about 6500 flying hours primarily on Heavy Multiengine Jets. He is an experienced Operational Intelligence Analyst.
Bilquees Daud,"Bilquees Daud is an Assistant Professor & Co-Director Centre for Afghanistan Studies at the Jindal School of International Affairs. With extensive experience working in Afghanistan and abroad, she has authored several research and analytical articles."
Femy Francis,"Femy Francis is a Project Associate at the School of Conflict and Security Studies, NIAS, coordinating the China, East Asia & the Pacific area studies. Her research focuses on maritime, geopolitics and technological developments."
Harisundar Kumar,Harisundar Kumar is an intelligence analyst at Global Weekly and a NASP Fellow at the Takshashila Institution.
Harsh Behere,Harsh Behere is Faculty at Rashtriya Raksha University and Coordinator of the Centre for India's Neighbourhood and Internal Security Studies (CINISS). His research interests include Defence and India's neighbourhood studies.
Kamran Nazeer,Gp Capt Kamran Nazeer UYSM is a serving IAF officer. He is in the seventh semester of his PhD and was awarded the UYSM for Op Sindoor.
Kaushal Balaji,"Kaushal Balaji is a Political Assistant at a foreign diplomatic mission in New Delhi, tracking and analysing India's domestic and external affairs."
Khushi Sehra,"Khushi is a PhD scholar at the Centre for International Politics, Organisation, and Disarmament, JNU."
Nitin Agarwala,"An alumnus of IIT Delhi, IIT Kharagpur and CUSAT, has experienced a warship as a user, designer, inspector, maintainer, policymaker, teacher, researcher and authored over 80 articles, papers, book chapters and two books."
Rasik bin Altaf,"Rasik bin Altaf holds a Master's in International Relations from MMAJ Academy of International Studies, JMI, focusing on International political economy, security studies, and small state behaviour in South Asia"
Shreya Iyer,"Shreya Iyer is an International Trade Analyst at Deutsche Bank India, engaging primarily in Global Economic Sanctions Policies and Trade Compliance."
Somya Maan,"Somya Maan is a Research Student at the Department of Political Science, Hindu College, University of Delhi. Her research interests include Indian Political Thought, Political History, Security and Strategic Studies."
Taha Ali,"Taha Ali is a Conflict and Peace Studies student researching nuclear deterrence, religion, and strategic culture in South Asia and Islamic political thought."
Tejinder Hundal,"Dr Tejinder Hundal is a serving Indian Army Officer with over twenty-five years of military experience. His academic qualifications include an MPhil degree in International Relations, and a Doctorate in Defence and Strategic Studies."
