Presentor,Title
Gp Capt Kamran Nazeer,How has Mawdudi's Interpretation of Jihad in Al Jihad fil Islam Influenced the Actions of Pakistan's Army
Capt (Dr.) Nitin Agarwala,"Regulatory, Economic and Security implications of cryptocurrency adoption in Pakistan"
Mohammad Taha Ali,How Islamist Militants’ and Clerical Narratives Co-Opt Pakistan’s Nuclear Deterrent?
Khushi Sehra,Guardians or Gatekeepers? An Analysis of Contemporary Developments  in Pakistan’s Judiciary-Military Relations
Bilquees Daud,Discerning the Role of Pashtun Nonviolent Movements in Shaping Pakistan's Political Landscape
Femy Francis ,"Mapping Pakistan’s digital ecosystem: Dependence, governance, and sovereignty "
Shreya Iyer & Kaushal Balaji,The Generals Meet Their Match: Barelvi Power and Pakistan's Political Crisis
Harisundar Kumar,Assessing Pakistan as a Rentier State
Somya Maan,"Kautilya’s Arthashastra as a diagnostic tool for assessing state function, state fragility and its impact on societal institutions in Pakistan "
Harsh Behere,Evolution of militant media networks in Pakistan A comparative perspective
Wg Cdr Amardeep Singh,The Historical Trajectory of PAF Collaboration with China and The Key Outcomes of this Partnership
Gp Capt Anand Kumar Yadav,PAF-CHINA: F-6 TO J-35 AND BEYOND
Rasik bin Altaf,Hydropolitics at the Crossroads: Provincial Inequities and the
Dr Tejinder Hundal,Influence of Article 40 on Pakistan's Diplomatic and Economic Relations with Muslim Majority Nations
